,market,name,description,displayAddress,street,city,state,zipCode,timezone,latitude,longitude,averageRating,ratingCount,priceRange,imageUrl,asapDeliveryAvailable,asapDeliveryTimeMinutes,pickupAvailable,asapPickupAvailable,asapPickupMinutes
63,"Houston, TX",La Mexicana Restaurant,"$$ • Takeout, Lunch","La Mexicana, 1018 Fairview St, Houston, TX 77006, USA",1018 Fairview Street,Houston,TX,77006.0,US/Central,29.7484079,-95.391649,4.69367599487305,9725,$$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/La_Mexicana_Restaurant_logo.webp",True,20,True,True,3
65,"Houston, TX",El Tiempo Taqueria,"$$ • Takeout, Pickup","5526 Washington Ave, Houston, TX 77007, USA",5526 Washington Avenue,Houston,TX,77007.0,US/Central,29.7709217,-95.4182798,4.07341623306274,1689,$$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/c61744b5-111d-494f-8729-5f0eb180e527.png",False,28,False,True,24
66,"Houston, TX",El Taco Rico,"$$ • Tacos, Breakfast","1818 Hamilton St, Houston, TX 77003, USA",1818 Hamilton Street,Houston,TX,77003.0,US/Central,29.7462295,-95.3622859,4.42857122421265,133,$$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/1edf680d-ee79-4935-8038-b64cffe2c56c.png",True,23,True,True,14
67,"Houston, TX",CAVA,"$$ • Healthy, Bowls","4000 Washington Ave Ste 101, Houston, TX 77007, USA",4000 Washington Avenue,Houston,TX,77007.0,US/Central,29.7704309,-95.4012509,4.65055799484253,538,$$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/e48c278d-328e-4798-8e37-f65ab571d2d5.png",False,29,False,False,26
69,"Houston, TX",El Charro Mexican Bar,"$$ • Mexican, Breakfast","3801 Harrisburg Blvd, Houston, TX 77003, USA",3801 Harrisburg Boulevard,Houston,TX,77003.0,US/Central,29.7466172,-95.3380028,4.65099811553955,3808,$$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/6134150f-85a9-4bcc-88f0-3e68b3b6c9da.png",True,23,True,True,8
70,"Houston, TX",the monks heights,"$$ • Chinese, Fried Rice","126 Heights Blvd #110, Houston, TX 77007, USA",126 Heights Boulevard,Houston,TX,77007.0,US/Central,29.7716417,-95.3967141,4.70157814025879,697,$$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/7c9a7e7b-f0f0-4c24-9482-13c0d03cf4da.png",False,28,False,True,19
71,"Houston, TX",Barnaby's Cafe,"$$ • Dinner, Burgers","Barnaby's Cafe, 414 W Gray St, Houston, TX 77019, USA",414 West Gray Street,Houston,TX,77019.0,US/Central,29.753638,-95.387163,4.84028387069702,2398,$$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/674a9853-cd1f-4472-a1d8-b4b18bac2199.png",True,24,True,True,16
72,"Houston, TX",Pho Binh,"$ • Vietnamese, Noodles","2916 White Oak Dr, Houston, TX 77007, USA",2916 White Oak Drive,Houston,TX,77007.0,US/Central,29.7819194,-95.3902331,4.82795095443726,1796,$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/cd5fdd68-6654-4a14-91fc-cb50d357e916.997",False,24,False,True,18
73,"Houston, TX",Minuti Coffee,"$ • Pastries, Coffee","909 Texas St, Houston, TX 77002, USA",909 Texas Street,Houston,TX,77002.0,US/Central,29.7602138,-95.3625748,4.54585790634155,676,$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/ab99e4eb-96ff-45d4-8af5-2b334f6f7072.png",True,23,True,False,15
74,"Houston, TX",China 101 Express,"$$ • Asian, Asian Food","7011 Harrisburg Blvd, Houston, TX 77011, USA",7011 Harrisburg Boulevard,Houston,TX,77011.0,US/Central,29.7356679,-95.3009225,4.44948816299438,4979,$$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/db5355f8-8cd9-4fdd-bbb5-4e40c90dbd29.png",False,28,False,False,20
